,Tweet,HS,Abusive
1102,rt guna begitu main persija kayak bakar kumis suporter bawa asa laku main x80,0,0
1103,dalih 4 pilar majelis musyawarat rakyat dungu biadab bangsa dakwah islam seru sembah nyembah allah subhanahu wa taala benci kafir pecah bangsa,1,1
1104,guna guna guna guna guna guna guna kno gue bilang bencong hati makan duit perintah sah ganti dasar pancasila negara khilafah bencong nama,1,1
1105,selamat sore twit 18 4 presiden jokowi pimpin rapat batas bahas kembang siap asi games xviii 2018 istana presiden bogor jawa barat butir arah simak ya,0,0
1106,perintah tetap daftar proyek strategis nasional realisasi si,0,0
1107,perintah gus ipul puti kuat program nawacita presiden jokowi jawa timur salam 2 jari,0,0
1108,guna mari ngewe,0,1
1109,guna mudah mudah geblek riya posting gaji 13 14 lini,0,1
1110,guna guna dengar laut banda tutup teliti asing regulasi teliti laut banda leader nya teliti indonesia kapal riset indonesia serta teliti asing,0,0
1111,guna guna oke point cebong dungu intelligence quotient kolam ngeyel ujung ujung kolam pokok ganti ya x98 x82,1,1
1112,pikir arah riskan hantam posisi tengah imbang condong habis hitam hitam,1,0
1113,rt guna guna september perang partai komunis indonesia desember perang topi santa prabowo menteri peran wanita,1,0
1114,rt guna ya bajing terima kasih,0,1
1115,guna alay hyung gue hidup nista alay,0,1
1116,guna guna gerombol partai adil sejahtera booking pecun hotel travel fashion hotel area gunung sahari plus markas alexis tumbal citra sisa aman wan abud,0,1
1117,tahu ajak 4 orang kawan adik adik darah mara jiran 1 taman beli kerja seks komersial jemaah kerja seks komersial shj promosi nih tamat x80 uniform resource locator,0,0
1118,panitia awas milu sukamara terima lapor langgar pilih kepala daerah,0,0
1119,bijak indonesia tentang penting cina,1,0
1120,guna guna lupa ayah mati bom bunuh susilo bambang yudhoyono linglung,0,0
1121,dewan wakil rakyat majelis musyawarat rakyat ambil tindak pecat hormat setya novanto sudi wakil manusia hina tanda rakyat indonesia,1,1
1122,guna iya huhu orang udik langsung x98 x82 x98 x82 peru kompilasi bilang waaah,1,1
1123,guna guna guna guna guna dongok suporter promosi film wkwk politik wkwk,1,1
1124,guna cewek manusia homo,1,1
1125,usir buddha myanmar kacau myanmar,1,0
1126,sulit tutup bocor kapal mana ya ganti kapal,0,0
1127,heran deh ya cape lari lari pikir,0,0
1128,norak kampung nagita slavina ibunda ayu ting ting doa uniform resource locator,0,1
1129,rt guna ya orang indonesia suruh tertib susah banget salah contoh tertib kereta listrik x80,0,0
1130,guna ini rezim anti islam ya erti,1,0
1131,guna provokasi lengser jokowi gue lengser jusuf kalla biar adil biar ramai tamak,1,0
1132,guna tante kunti juta lumayan lebaran nih x98,0,0
1133,gila ya bikin webtoon matahari 1 2 lingkar nikah arka sinting gue menang,0,1
1134,rt guna tonton perhati praktikan mantap need kuat bottom like that anjing parah,0,1
1135,guna rezim sensasional tindak peristiwa nalar dominan doa moga deklarasi islam cebong nusantara x99,1,1
1136,tentara saudi suriah isis banci lari libya uniform resource locator uniform resource locator,1,1
1137,guna bayar artis ya menang tertawa sakit multi talenta artis film komunis,0,0
1138,ahok bebas ulama komando revolusi lengser jokowi sumber uniform resource locator,1,0
1139,rt guna rindu bajing,0,1
1140,selamat derita orang ih uniform resource locator,1,0
1141,rindu pimpin pimpin,0,0
1142,fabi ayyi ala i rabikuma tukazziban alhamdulillah nikmat tuhan dusta,0,0
1143,buddha bantai muslim rohingya,1,0
1144,presiden trump as korea utara adakan bicara langsung tingkat presiden amerika donald trump,0,0
1145,guna bijak kembali barang konsumen barang rusak cacat produksi konsumen puas produk hitung 7 tanggal beli guna guna,0,0
1146,guna dusta pimpin agama kristen ya teh,1,0
1147,guna guna goblok twit sih apes omong sih prabowo arah kesitu,1,1
1148,guna guna guna guna haha bom,0,0
1149,rt guna guna kartu kredit pinjam negara,1,0
1150,guna nama nita apriani domisili palembang youtube nita apriani,0,0
1151,paham perintah pusat kes surat pemberitahuan tahun biar anjing program program bego progresif tau ya biar masyarakat nilai program program hancur hancur ya nama anjing pose elang ngepet uniform resource locator,1,1
1152,tulis pagi budaya rugi sehat moga guna,0,0
1153,guna pimpin guna dorong kuat ump layak amp program era penuh ubah kalang buruh migran lokal uniform resource locator,0,0
1154,iya gara gara bupati samosir bilang jokowi presiden samosir hater ramai ramai ban bilang hoaks foto soekarno tepi danau toba tau danau toba keliling 7 kabupaten hater orang sumatra utara,0,0
1155,rt guna guna gue galak kasar omong jaga pacar gue terima gue sayang kakak x80,0,0
1156,guna anak anak pikul bom turut delusi orang tua,0,0
1157,guna guna kaum cebong dungu saham ambil putus mayoritas untung memang gaji kerja alat freeport,1,1
1158,guna guna guna guna guna guna guna guna guna guna guna pakai jilbab komunis megawati sri mulyani puan maharani mentwit pintar ya tong,1,0
1159,guna guna gue cerita bangsat suka sad mewek benar gue baca gembel banget sih wkwk,0,1
1160,guna guna guna guna bacot,1,1
1161,guna bodoh tarik titik,0,1
1162,guna karno anti asing indonesia pbb gera non blok beliau mayoritas jawa puja jadi presiden umur hidup mentah min,0,0
1163,guna guna guna guna kondisi mencret minum susu kental manis sebab kadar gula dalam kondisi faktor intoleransi individu susu sapi,0,0
1164,rt guna jokowi staf ahli khusus tahan aset nasional diktator jomlo lokal,1,0
1165,guna guna guna guna guna guna guna guna guna guna guna guna guna orang tolol idiot bahaya dengar x80 x9chutang x80 jadi bahan bully perintah kritik presiden hutang sebab cashflow negara negatif,0,1
1166,guna ayah tsundere dingin jarang omong canggung orang asing kadang receh pelit wkwk langsung beli beda mama tabung madrid jam 2 siang,0,0
1167,masif cina antek komunis uniform resource locator,1,0
1168,guna asli bego kelar kelar nih partai kualitas kayak partai allah wkwk bego bani micin setia dukung bos calon presiden dumb ception,1,1
1169,guna 100 orang indonesia waras sehat jasmani rohani percaya presiden jokowi muslim pengaruh dunia kecuali kader anggota gerindra percaya,0,0
1170,guna ya lembar tambah aduh maaf min celeng erti haha terima kasih min re the best,0,0
1171,rakyat dengar sesuai atur kabar media duga korupsi berita tenaga kerja asing penuh lini berita televisi uniform resource locator,0,0
1172,guna guna proses buang islam main paksa sadar,1,0
1173,ahok tamat penjara ahok penjara ahok,1,0
1174,isu partai komunis indonesia hembus grup grup dukung prabowo,1,0
1175,guna tolong ajak buzzer pintar anggar jago hina orang suka pakai lapor polisi aduh,1,0
1176,haji tipu ibrahim kubur kabah biar rakyat tipu lukman,1,0
1177,rt guna sinting kah km bos bubar komisi berantas korupsi km orang orang,1,0
1178,guna guna sampean sarap ya impor pesawat bagi papa impor garam bayang indonesia isi garam garam impor dasar otak ampu kaki,1,1
1179,marked as to read catat hari menantu sinting by ros l simamora uniform resource locator,0,0
1180,guna guna ya waspada antek komunis pintar kamuflase,1,0
1181,jokowi pilih lantik presiden ri oktober 2014,0,0
1182,guna x98 x81 x98 x81 x98 x81 jabat perintah gubernur tingkat menteri dewan wakil rakyat layak potong gaji bayar pajak bayar zakat mal sisa fakir miskin tutup utang tawar,0,0
1183,apa nya muara nya tanggung presiden solusi solusi baik turun jokowi,1,0
1184,presiden guna sistem izin usaha integrasi online online single submission terap menteri tingkat provinsi tingkat kabupaten tingkat kota mus guna,0,0
1185,guna guna leceh gera salat legal mas jabat kenal olahraga aneh rejim mana ya,0,0
1186,guna captain tai ganteng garam guna wkwk,0,0
1187,guna foto memek nya,0,1
1188,guna tokoh agama politik praktis jabat jabat publik identitas agama lingkung agama buddha aku biksu makan daging iya minum minum keras iya keluarga,1,0
1189,guna guna guna milik kampret bodoh pasti otak kampret,1,1
1190,guna ayo dukung penuh 1 000,1,0
1191,guna guna guna guna takar liberal sekuler syiah komunis intoleran ekstremis,0,0
1192,nama alana milik masalah rumit sadar titik rendah titik rendah kelabu bisu,0,0
1193,guna gue dower rapper onta milik gue hati,0,0
1194,gue mimpi sentil biji babi ahok cetar cetar langsung kejang kejang adu jokowi jokowi sunat bicara al maidah,1,1
1195,guna edan 3 14 t,0,1
1196,paham paham betapa tinggi ilmu ulama paham tg ahmad ridauddin,0,0
1197,guna wkwk mampus,1,1
1198,guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna sih asing rebut kaya indonesia x98 x82,0,0
1199,guna guna guna monyet komunis piara cina loleng,1,1
1200,rt guna antek partai komunis indonesia simpatisan proxy cina komunis benci tentara nasional indonesia panglima wajar merek,1,0
1201,guna guna guna guna guna guna ganti rezim biar ulama ulama turun turun jalan demo demo suara adil salut guna moga demokrat partai islam rapat,0,0
1202,guna anjir gue,0,1
1203,guna guna guna taplak meja warna merah putih taruh asbak rokok ya,0,0
1204,guna guna guna hindu kenal sidang hindu percaya hukum karma mana tuhan programmer agung buat hasil padan hasil bakar neraka bentuk k,0,0
1205,guna banci thailand cegah oppa,0,1
1206,guna promosi bani kampret,1,1
1207,sulit monyet apel manis pisang,0,0
1208,daftar lengkap 14 proyek coret jokowi play station network,0,0
1209,senang nya,0,0
1210,guna iya gue kayak orang idiot obrol hyung,0,1
1211,guna nya gerombol hina presiden mesti proses,1,0
1212,suka video guna,0,0
1213,cont kelamin wanita dengar penuh lokasi ubah wujud jiwa peran hati kutuk buru orang orang asing kejar tim tugas co,0,0
1214,guna pers kritisi nyata menteri agama bangsa bohong,0,0
1215,guna gue lihat sih kampret wkwk,0,1
1216,mbak camp jual susu sapi murni susu sapi orang kambing orang kuda orang onta orang zebra murni tutup hidung pas minum he,0,0
1217,guna pawang monyet pawang monyet,0,1
1218,guna bau bau korban cowok pintar cakap bikin bawa asa onta x98 x98 x82 x98 x82 x98 x82 x98 x82,0,1
1219,lengser jokowi frop parah frop guna,1,0
1220,guna guna buta ya om,1,1
1221,sesal gue unfollow anjir fers nya hilang audit turun,0,1
1222,guna guna guna guna guna baca judul monyet biar domba idiot,1,1
1223,pilih kepala daerah ntt,0,0
1224,bebas adil ustaz alfian tanjung langsung tangkap mana adil uniform resource locator uniform resource locator,1,0
1225,guna kakak ab bin al asyraf salah tokoh yahudi benci dakwah nabi hafal al qur an,0,0
1226,guna segregasi nih zaman zaman nabi muhammad ubah sikap manusia amal budaya diskriminasi malaysia nih actually aman gaduh teruk sa,0,0
1227,guna guna fitnah makan nih akun sampah,1,1
1228,guna anak monyet bawa bawa agama bicara politik tau wawas wkwk dangkal media sosial bicara sektarianisme pecah belah umat agam suku ras agama bicara kecebong makar orang panglima gatot kait,1,1
1229,guna guna hehe muhammadiyah mas kiai dahlan tuduh kiai kafir,0,0
1230,ya festival budaya iniii nabung,0,0
1231,guna al qur an jadi alat bukti kepala polisi republik indonesia bom surabaya,0,0
1232,moga allah menghancurleburkan kafir buddha teroris zalim kaum muslim rohingya,1,0
1233,rt guna lo oppa oppa korea bilang oppa korea banci banci militer 2 htt x80,0,1
1234,guna percaya kayak bukti kisah kisah profesor yahudi masuk islam takjub teliti bla bla bla suka seliwer grup wa x98 x82,0,0
1235,1 riah acara temu masyarakat indonesia gubernur guna konsulat jenderal republik indonesia istanbul ajar gubernur pesan bangun jaring indonesia guna,0,0
1236,rt guna guna zaman susilo bambang yudhoyono antek antek partai komunis indonesia rajalela ganas,1,0
1237,rt guna bohong harp menang 2019 cih uniform resource locator,1,0
1238,sampah ambil kursi cafe manjaaaaa ketulungan,0,0
1239,twit be right back alhamdulillah ingat be right back sendawa kenyang haha sori noob be right back ececeh,0,0
1240,mundur gatot amp saing sehat jokowi,1,0
1241,teriak 1 presiden nya militer 2 opsi calon presiden sipil alam 2 mantan presiden militer hasil 1 krisis moneter 1998 2 mega proyek mangkrak salah,0,0
1242,rt guna pe kakak es lagiiiii guna lo partai kampret sejati uniform resource locator,1,1
1243,guna nama cari nafkah bangsat,1,1
1244,guna guna tuju pakai banget sekretariat jenderal pcn partai cocot nusantara,1,1
1245,makan murah ya allah lis nih yahudi makan 6 ringgit suka x92 x96 x98,0,0
1246,guna tradisi semut yahudi nama bar banget mitzvah umur 12 13 iya hitung dewasa ukur haid gadis 10 iya haid matang kawin tradisi hijaz kawin usia,0,0
1247,keparat orang mantan gue,1,1
1248,guna warga negara indonesia turun arab juang negara satu republik indonesia raden saleh pahlawan nasional habib abu bakar aktif gera islam ar baswedan kakek anies baswedan anggota badan selidik usaha siap merdeka ri mar ie muhammad eks,0,0
1249,sekretariat jenderal pbb,1,0
1250,suka video guna uniform resource locator ahok bebas anies puruk amp ancam gagal gubernur sandi resmi,1,0
1251,guna kampret rusak nusantara jaman majapahit wadah hati rekan ide khilafah,1,1
1252,rt guna guna bejat pokok,0,1
1253,guna guna guna guna gue pikir warna pikir kayak banget idiot nya x98 x82 x98 x82 x98 x82,0,1
1254,rt guna guna guna guna kh ruf bicara belaga budek belaga pilon sundul x89,1,1
1255,3 tsrm hakim sebab mahkamah sekutu putus tukar agama anak guru tadi indira gandhi muhammad ridwan abdullah 10 hindu islam batal sah sisi undang uji nasional,0,0
1256,rakyat suruh pilih spa bubar nya dewan wakil rakyat bubar sesuai konstitusi uniform resource locator,1,0
1257,guna sipit mata tau,0,0
1258,guna nyamuk keparat,0,1
1259,guna guna balas gue balas mulu dasar onta cebong,1,1
1260,budaya demokrasi amerika serikat maju indonesia rakyat beda privat publik paham guna pesawat presiden lekat lembaga presiden selamat amp aman presiden,0,0
1261,orang saksi anjing babi tolol uniform resource locator,1,1
1262,tokoh bilang umat muslim negeri tekan muslim umat agama tekan bikin egois hak banding anut agama,0,0
1263,guna nyanyi nyanyi lingsir malam ya iya the kunti,0,0
1264,anjing goblok setan bangsat,1,1
1265,guna ganti casing akuisisi patungan bank asing ngilu banget dengar nya,0,0
1266,sisi sadar gender tetangga belah maju kerja istri suami urus anak ekonomi lumayan mobil 3 motor ninja 1 lingkung,0,0
1267,giat kepala unit bina masyarakat polisi sektor singojuruh rangka cipta kondisi aman kondusif jelang pilih kepala daerah klik,0,0
1268,apasal rindu eeeee idiot x98,0,1
1269,ahoker 11 12 surup rakus 2 periode gerak,1,1
1270,20 3 kb si koneksi bangsat,1,1
1271,rt guna drama drama nya bangkai ya ya gue tonton x80,0,1
1272,dasar bajing percaya omong,1,1
1273,duka tinggal nya ceo thread starter kim tai song terima kasih sajangnim x99 guna,0,0
1274,guna guna ganti presiden ndasmu atos umbar cocot he goblok,1,1
1275,guna bangun industri iklim ikan indonesia sulit banding ledak kapal kapal asing,0,0
1276,guna malas gue baca onta,1,1
1277,rt guna guna guna anak berontak layak negeri,1,0
1278,keras suara kali zaman belanda masjid haram,0,0
1279,detik bukti lelaki bajing,1,1
1280,twit retweet dasar kena pajak,0,0
1281,guna fadli zoom politik sih politik tahu negara satu republik indonesia sejarah lupa penting pribadi partai sadar biar kaco negara yuk bela bantu presiden jokowi makmur,0,0
1282,guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna,0,0
1283,guna guna urus negara rumah tangga sama coi beda sederhana,0,0
1284,guna guna guna guna tuju islam nusantara indonesia agama kristen protestan nusantara katolik nusantara buddha nusantara hindu nusantara agama nusantara biar seragam,0,0
1285,bandung butuh acara acara pekan tanggal merah macet bangsat,1,1
1286,rt guna presiden buta tuli pimpin tubruk tabrak budek dengar rakyat teriak lengser jokowi,1,1
1287,model baju mr j prabowo,0,0
1288,guna gue geblek teman gue pintar tau deh,0,1
1289,guna jijik nih haha kena nor haha karipap kat dapur tepi queen,0,0
1290,guna guna guna guna guna maaf nih katolik nusantara,0,0
1291,bising cina cina nih x99 x84,1,1
1292,tim sukses pasang calon pilih gubernur jawa timur 2018 apresiasi debat kandidat,0,0
1293,nama artis retweet nama indah nih tunggang agama detected,0,0
1294,bro guna lupa jenguk gara gara asma dewi menang,1,0
1295,guna orang edan koe,1,1
1296,bicara laptop cina maksud made in cina 90 laptop dunia asal cina,0,0
1297,guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna sebar bahaya laten int,0,0
1298,umar bin khattab muslim sejati bela no 1 rasulullah islam khalifah teladan depan korban cinta rakyat fasih hafal al alquran sederhana jujur wibawa enak sama sama,0,0
1299,kritik jokowi anggap nyinyir bani kolam kritik ujung dukung 2 periode lo kritik dukung nyinyir haram definisi kritik ala nalar rusak parah,1,1
1300,agenda tema beda tuju turun guna nya alat politik kemas agama,1,0
1301,pahlawan juang susah payah korban jiwa raga usir jajah eh biar negeri jajah cina mudah,1,0
1302,jadi ramai pilih kepala daerah,0,0
1303,rt guna kapten tim menang tanding gara gara gagal menang kapten tim tanding lawan tim x80,0,0
1304,guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna balik onta,1,1
1305,guna guna guna min erti inflasi sarjana ekonomi dampak cetak uang tambah uang edar nek nyanyi orang yen taksir ra peduli dunia inflasi,0,0
1306,indeks harga saham gabung buka kuat 17 22 poin 0 28 6 302 98,0,0
1307,guna guna guna guna anies sandi berani,1,0
1308,guna guna kutuk bro,1,1
1309,masuk teh daun jati cina x89 10 000 pack nahan orisinal double embos hn super x89 60 000 paket,0,0
1310,rt guna guna hebat nya teriak antek cina,1,0
1311,guna guna guna guna haha keras bro harga ganti presiden pilih prabowo fokus dukung prabowo,0,0
1312,guna rakyat susah menteri perek daya beli hancur guna setan iblis tukang tipu,1,1
1313,guna kira titit,0,1
1314,rt guna hujan hujan goda itu ojek pengkol memek sih abang pusing duit mending buang p x80,0,1
1315,jawa timur anti hoaks anti ujar benci sara dukung pilih kepala daerah damai karyawan pt wkwk tow benowo surabaya,0,0
1316,twit ribu mang bukittinggi ranah bunda kandung the realm of matriarchal pikir pro guna guna calon wakil presiden presiden jokowi 2019 pilih twit ribu mang,0,0
1317,guna surat pemberitahuan tahun ahok nasional demokrat susul rekan nya dukung pasang calon nista agama tukang caci maki tai tai,1,1
1318,tukang buru pulang mandi kayak gembel cantik,0,1
1319,guna orang suruh baca lks biologi lihat gambar gambar nya doang gambar macan gambar bunga bangkai gambar organ tubuh hehe,0,0
1320,najis banget erel bencong,1,1
1321,guna tegas enak rendang pro asing pro,0,0
1322,guna sih anjing banget paypal,1,1
1323,tomohon pusat ajar agama kristen katolik khusus doa meditasi bukit kasih suci indah tenang,0,0
1324,ahok calon gubernur demo,1,0
1325,syarat tai chi tau main lawan tau materi lawan kita pintar selesai buku cerdas tangkas jilid 5b uniform resource locator,0,0
1326,masyarakat adat badui serah hasil panen jabat bupati lebak ino si gubernur banten wahidin halim,0,0
1327,rt guna ngentot enak cowok x98 uniform resource locator,0,1
1328,guna manusia homo,0,1
1329,rt guna buaya darat laden paling berengsek sehat,0,1
1330,guna sempat nih langsung deh manfaat pencitraaan rezim,0,0
1331,guna guna guna biar bagus cungkring gendut autis x98 x81,0,1
1332,guna muslim bawa bawa sih buruk istimewa dengar tulis buddha tulis kristen tulis komunis tulis,0,0
1333,guna ayo serbuuu persekusi hina presiden hina ulama tuan guru bajang kiai said quraish shihab hina rizieq persekusi rizieq nabi,1,0
1334,beda halang teman read kiri agama katolik islam buddha,0,0
1335,guna oke baik esok koi lancar bom atom katil 2 sok make sure iya bilik iya esok k bye,0,0
1336,guna bani belah otak nya jalan otot usaha suram ala indosat beli maklum hidup nasi bungkus,0,0
1337,beliau milik kriteria pas presiden ri 2019 2024,0,0
1338,guna bawa arah tuju bentuk pasar uang,0,0
1339,sumpah subjek nih gila babi,1,1
1340,guna eto homo,1,1
1341,rokok keren asap pantat,0,1
1342,presiden guna bangun jawa beliau serang isu miring biasa indonesia jawa tuju guna guna guna guna guna,0,0
1343,guna sosial at publik kejam lgbt jujur publik suka bohong,0,0
1344,partai adil sejahtera alami dilema buah simalakama aju presiden 6 suara partai adil sejahtera satu kader populer cinta rakyat peluang menang,0,0
1345,saham asai asing bangun papua tinggal freeport raup untung hasil eksplorasi kaya alam papua,0,0
1346,tanggap narasumber indonesia lawyers club,0,0
1347,guna guna ulama kenal,0,0
1348,guna guna harga gue dungu beli starbak mules,0,1
1349,guna guna babi haha,0,1
1350,keandra sosok lelaki tarik jenis gender aku ada transgender anggap lelaki anggap norma gender ting laku layak,0,0
1351,guna guna guna guna guna guna sih idiot jumawa menang kemarin,1,1
1352,guna guna panas partai komunis indonesia,1,0
1353,mari bubar dewan wakil rakyat guna uniform resource locator,1,0
1354,guna guna tolak bantu asing asing,0,0
1355,guna partai rakyat demokratik komunis,0,0
1356,guna orang mancam peluk negeri gedong gede dongok ngawur,1,1
1357,guna x80 x80 nama asing dengar anna pikir sang dara hadap huni habis kenal tampil maaf san nama anna san anna,0,0
1358,guna makar omong zon suka adu domba bawa nama islam agama pegang hidup sok suci zon mulut dower bacot,1,1
1359,guna jahat jahat manusia suka cari salah cela orang lalat cari bangkai busuk,0,0
1360,guna bajing indosat,1,1
1361,rt guna enak hyper crot ngentot x92 uniform resource locator,0,1
1362,guna bisnis biar 2019 ganti presiden presiden amanah siswi janji ngomong impor serba impor tani negeri gigit jari ampun deh,1,0
1363,guna wisma darul aman kerja banci politik x98 x82,1,1
1364,guna cepat setan,1,1
1365,guna komunis,0,0
1366,luas pintu rezeki,0,0
1367,guna manusia homo,1,1
1368,rt guna kontol bunda pakai timun x92 guna guna uniform resource locator,0,1
1369,presiden proyek strategis nasional 2017 rampung,0,0
1370,guna sih anu agama ragu turut sih kafir,1,1
1371,guna guna agree on that master kafir hina istilah milik konotasi negatif,0,0
1372,guna bicara silit,0,1
1373,presiden hina kepala polisi republik indonesia menteri hukum hak asasi manusia menteri didik budaya menhan abu janda ansar baris serba diam ajaib,1,0
1374,guna bidadari jamban,0,0
1375,guna guna guna guna guna guna menang curang ya demokrasi cacat,0,0
1376,guna guna hmmm cium aroma aroma jablay bangsat iya pergi,1,1
1377,rt guna donatur 212 korban iya sih korban korban biadab tipu 86 720 orang umrah nc x80,1,1
1378,guna bro guna tolong goreng teori konspirasi islamofobia kafir yahudi asing asing liberal komunis lgbt,0,0
1379,guna biar perintah provinsi daerah khusus ibukota mari dukung bantu perintah provinsi lawan cukong asing asing koruptor satu teguh perintah provinsi daerah khusus ibukota warga daerah khusus ibukota jakarta lawan cukong asing asing k,1,0
1380,jablay banget sih gue jual,0,1
1381,barang bunuh mu ahid kafir jamin aman alas hak cium wangi surga jarak puluh jalan ahmad,0,0
1382,ajar muslim agama ajar bunuh paham islam agama ajar sesat sembah nyembah allah subhanahu wa taala biadab,1,1
1383,guna guna aduk aduk jawa kayak daerah khusus ibukota makan pandai ajar pilih kepala daerah jakarta,0,0
1384,guna guna kampung banget sih ngomong bahas x80 x99 x80 sorry level debat dungu otak,1,1
1385,buaya darat sejati b a lihat kaos lacoste sandal crocs celana kolor crocodile,0,0
1386,aduh ya sekolah katolik turut amp keluarga bagus orang tua sekolah anak anak nya sekolah katolik masuk sih adik situ jurus animasi multimedia situ buka,0,0
1387,salah grup facebook pro tuan guru bajang isi rezim bla bla ulama bangsa tuan guru bajang dukung jokowi nama grup ganti komando ulama,0,0
1388,hidup kena kerja keras harap kena suap bajing,0,1
1389,guna palestina antek asing,1,0
1390,jokowi hormat muslim zalim,1,0
1391,rt guna ya lucu banget beda banget juta sih kunyuk uniform resource locator,0,1
1392,dear gubernur guna wakil gubernur guna datang opa wenger latih guna pasca beliau out arsenal,0,0
1393,ya ya beda cerita konyol asing x98 x82,0,0
1394,lepas 21 arsenal arsene wenger kesah tinggal club london musim terima kasih wenger,0,0
1395,guna guna mohon maklum bani kodok gampang meriang oksigen comberan,1,1
1396,setya novanto titip absen politis kocak bikin malu wakil rakyat pecat,1,0
1397,nalar sehat pikir buruk tuduh ganjar baca puisi anti islam,0,0
1398,guna guna guna selamat bani kampret,1,1
1399,guna guna guna mas manusia homo suka pentil mimi peri,1,1
1400,blokir jokowi mantap dunia maya gambar tinggal realisasi dunia nyata lengser jokowi,1,0
1401,baca cerita cousin nih malu cerita pasal agama sibuk cerita pasal makan kedai hipster thread,0,0
1402,hijab budaya arab budaya arab umbar aurat hijab budaya syariat budaya hasil cipta reka pikir manusia syariat perintah tuhan cipta,0,0
1403,rt guna lampias nafsu mu sayang pepek mami buka sambut hadir kontol mu sayang hypertext transfer protocol over secure socket layer x80,0,1
1404,guna guna ber busa busa bicara deradikalisasi salat manfaat,1,0
1405,deklarasi anti hoaks dukung pilih kepala daerah damai,0,0
1406,korupsi tipu jamaah haram haram makan indikasi kandung dna babi x98 x82,0,0
1407,deh gue suka cowok lawak x98 x82 jae lawa krik member born to beat lucas cowok bejat bejat wkwk bad boy main mata asik wkwk,0,1
1408,guna hassle free return policy jamin kembali produk haus indonesia harga 7 tanggal beli produk cacat produksi konsumen puas produk beli,0,0
1409,guna agenda yahudi,0,0
1410,gojek ayo viralkan cc guna guna guna guna guna guna guna guna,1,0
1411,guna berak mencret mencret doang,0,1
1412,guna guna guna sengkuni tukang ramal lo ramal anies selamat bangsa cocot e sengkuni percaya masuk neraka percaya amin rais sih tukang ramal,1,1
1413,mahasiswa jurus d3 ekonomi uang,0,0
1414,guna guna guna guna guna guna guna tertawa banget jancuk wkwk,0,1
1415,sumbu pendek jokowi koalisi negara partai komunis indonesia jokowi partai komunis indonesia lengser jokowi pusing hamba,1,0
1416,guna guna minat mail looking at whole ya dulunya cheater aku silap and maaf sampah sarap sshhh,1,1
1417,pilih kepala daerah jawa timur ayem santai calon gubernur rakyat adem dewasa politik bangga arek surabaya,0,0
1418,tomohon pusat ajar agama kristen katolik khusus doa meditasi bukit kasih suci indah tenang,0,0
1419,guna kampanye jokowi koar koar janji tarif listrik bahan bakar minyak cipta 10000 lapang kerja nonsens bilang cacat,1,1
1420,bilang alexis tutup surat hehe tertawa baca pers rilis manajemen alexis kampret gampang dibegoin bilang tutup eh eks alexis,1,1
1421,kon harga harga badan lek kon bajing iya bajing badan dik tenang,0,1
1422,guna pikir korban tewas orang manusia sontoloyo kayak anggota komisi nasional ham rela uang pajak bayar gaji orang goblok milik empati,1,1
1423,ya x80 juj x80 juj tanda suku kaum muka lebar mata alias sipit kaum ciri ciri muncul ya x80 juj x80 juj nyata suku ras banjir,0,0
1424,pilih presiden kerja kerja kerja periode ya jokowi guna,0,0
1425,guna geng messi kontol deng biar amp cepat setel,1,1
1426,guna ah rt nya bolot,0,1
1427,guna laku batak kafir ya sih guna suka pecah belah umat,1,1
1428,nama simpang susun bundar semanggi om habib waras dasar kampung om,1,1
1429,guna katolik nusantara misa pakai bahasa indonesia pakai bahasa jawa yogyakarta jawa pakai bahasa lokal,0,0
1430,pertamina rugi garuda rugi usaha listrik negara rugi kau rugi badan usaha milik negara untung devisit sungkan bilang jokowi presiden hebat gilir anak bisnis pisang goreng omzet triliun percaya dungu,1,1
1431,guna guna guna bangga gubernur presiden,0,0
1432,guna bukti modal fitnah x98 x82 cebong modal bacot kencang fitnah bukti beda teman teman kolam x98 x82 x98 x82,1,1
1433,perempuan kayak mending mati deh jelek sok make up artist,1,1
1434,pilih kepala daerah dewan wakil rakyat daerah nilai atas politik uang saran perludem,0,0
1435,guna guna guna metode sih kampret banget x98 x82 x98 x82,0,1
1436,guna ten hyung bahasa cina,0,0
1437,sambung twit alhamdulillah terima kerja daerah tangsel mayoritas teman teman kantor agama katolik kristen amp islam,0,0
1438,guna ya bom alinea ya bom,0,0
1439,guna guna guna haha sempit banget pikir bang kampret cebong doang kasihan,1,1
1440,warga dusun mambang panas lestari budaya sedekah bumi 2,0,0
1441,guna guna guna guna jawa tinggal gereja katolik jawa konon teman katolik gereja khotbah pakai bahasa jawa kuno krama kromo halus jawa halus,0,0
1442,rt guna saudara aji moga allah izin gus ipul mbak puti gubernur wakil gubernur jawa timur guna guna guna guna guna guna,0,0
1443,guna iya sipit x98 belah tertawa iya marah ya skincare mahal x98 x82,0,0
1444,guna bacot,0,1
1445,guna guna guna rezim engah jujur bro kaya keluar suara radio rusak pita belit x98,0,0
1446,guna sok keren etik jutek cocok udik banget,1,1
1447,guna rakyat susah cari makan pimpin jokowi gaya rakyat siksa rakyat ganti mati,1,0
